Anno,Regione,Fonte,Copertura(GWh)
2021,Sardegna,Fotovoltaico,1100
2021,Sardegna,Eolico,1700
2021,Sardegna,Termoelettrico tradizionale,8300
2021,Sicilia,Geotermoelettrico,0
2021,Sicilia,Idrico rinnovabile,102.829032
2021,Sicilia,Idrico tradizionale,197.170968
2021,Sicilia,Bioenergie,200
2021,Sicilia,Fotovoltaico,1900
2021,Sicilia,Saldo import/export,2700
2021,Sicilia,Eolico,3400
2021,Sicilia,Termoelettrico tradizionale,10600
2021,Toscana,Idrico tradizionale,-48.97017
2021,Toscana,Eolico,300
2021,Toscana,Bioenergie,500
2021,Toscana,Idrico rinnovabile,848.97017
2021,Toscana,Fotovoltaico,900
2021,Toscana,Saldo import/export,3500
2021,Toscana,Geotermoelettrico,5500
2021,Toscana,Termoelettrico tradizionale,8500
2021,Trentino-Alto Adige,Saldo import/export,-4900
2021,Trentino-Alto Adige,Eolico,0
2021,Trentino-Alto Adige,Geotermoelettrico,0
2021,Trentino-Alto Adige,Idrico tradizionale,55.9976
2021,Trentino-Alto Adige,Bioenergie,300
2021,Trentino-Alto Adige,Fotovoltaico,500
2021,Trentino-Alto Adige,Termoelettrico tradizionale,1400
2021,Trentino-Alto Adige,Idrico rinnovabile,9644.0024
2021,Abruzzo,Saldo import/export,-100
2021,Abruzzo,Geotermoelettrico,0
2021,Abruzzo,Idrico tradizionale,20.9331
2021,Abruzzo,Bioenergie,100
2021,Abruzzo,Eolico,500
2021,Abruzzo,Fotovoltaico,900
2021,Abruzzo,Idrico rinnovabile,1579.0669
2021,Abruzzo,Termoelettrico tradizionale,3600
2021,Basilicata,Saldo import/export,-1000
2021,Basilicata,Geotermoelettrico,0
2021,Basilicata,Idrico tradizionale,18.412423
2021,Basilicata,Bioenergie,200
2021,Basilicata,Idrico rinnovabile,381.587577
2021,Basilicata,Fotovoltaico,500
2021,Basilicata,Termoelettrico tradizionale,600
2021,Basilicata,Eolico,2600
2021,Calabria,Saldo import/export,-10200
2021,Calabria,Idrico tradizionale,-20.641887
2021,Calabria,Geotermoelettrico,0
2021,Calabria,Fotovoltaico,700
2021,Calabria,Idrico rinnovabile,1020.641887
2021,Calabria,Bioenergie,1200
2021,Calabria,Eolico,2200
2021,Calabria,Termoelettrico tradizionale,11400
2021,Campania,Geotermoelettrico,0
2021,Campania,Idrico tradizionale,324.180676
2021,Campania,Idrico rinnovabile,675.819324
2021,Campania,Fotovoltaico,900
2021,Campania,Bioenergie,1100
2021,Campania,Eolico,3500
2021,Campania,Saldo import/export,5400
2021,Campania,Termoelettrico tradizionale,6500
2021,Emilia-Romagna,Geotermoelettrico,0
2021,Emilia-Romagna,Idrico tradizionale,11.833745
2021,Emilia-Romagna,Eolico,100
2021,Emilia-Romagna,Saldo import/export,400
2021,Emilia-Romagna,Idrico rinnovabile,888.166255
2021,Emilia-Romagna,Fotovoltaico,2400
2021,Emilia-Romagna,Bioenergie,2700
2021,Emilia-Romagna,Termoelettrico tradizionale,23500
2021,Friuli-Venezia Giulia,Eolico,0
2021,Friuli-Venezia Giulia,Geotermoelettrico,0
2021,Friuli-Venezia Giulia,Idrico tradizionale,54.697523
2021,Friuli-Venezia Giulia,Fotovoltaico,600
2021,Friuli-Venezia Giulia,Bioenergie,800
2021,Friuli-Venezia Giulia,Idrico rinnovabile,1945.302477
2021,Friuli-Venezia Giulia,Saldo import/export,2200
2021,Friuli-Venezia Giulia,Termoelettrico tradizionale,5000
2021,Lazio,Idrico tradizionale,-37.187326
2021,Lazio,Geotermoelettrico,0
2021,Lazio,Eolico,100
2021,Lazio,Bioenergie,600
2021,Lazio,Idrico rinnovabile,1237.187326
2021,Lazio,Fotovoltaico,1700
2021,Lazio,Saldo import/export,9500
2021,Lazio,Termoelettrico tradizionale,9900
2021,Liguria,Bioenergie,0
2021,Liguria,Geotermoelettrico,0
2021,Liguria,Idrico tradizionale,28.945777
2021,Liguria,Fotovoltaico,100
2021,Liguria,Idrico rinnovabile,171.054223
2021,Liguria,Eolico,200
2021,Liguria,Termoelettrico tradizionale,2300
2021,Liguria,Saldo import/export,3600
2021,Lombardia,Eolico,0
2021,Lombardia,Geotermoelettrico,0
2021,Lombardia,Idrico tradizionale,717.56864
2021,Lombardia,Fotovoltaico,2500
2021,Lombardia,Bioenergie,3800
2021,Lombardia,Idrico rinnovabile,10382.43136
2021,Lombardia,Saldo import/export,12700
2021,Lombardia,Termoelettrico tradizionale,38300
2021,Marche,Eolico,0
2021,Umbria,Eolico,0
2021,Umbria,Geotermoelettrico,0
2021,Umbria,Idrico tradizionale,46.90377
2021,Umbria,Bioenergie,200
2021,Umbria,Fotovoltaico,500
2021,Umbria,Termoelettrico tradizionale,1500
2021,Umbria,Idrico rinnovabile,1653.09623
2021,Umbria,Saldo import/export,1700
2021,Valle d'Aosta,Saldo import/export,-1900
2021,Valle d'Aosta,Bioenergie,0
2021,Valle d'Aosta,Eolico,0
2021,Valle d'Aosta,Fotovoltaico,0
2021,Valle d'Aosta,Geotermoelettrico,0
2021,Valle d'Aosta,Idrico tradizionale,37.0063
2021,Valle d'Aosta,Termoelettrico tradizionale,100
2021,Valle d'Aosta,Idrico rinnovabile,2862.9937
2021,Veneto,Eolico,0
2021,Veneto,Geotermoelettrico,0
2021,Veneto,Idrico tradizionale,7.640907
2021,Veneto,Bioenergie,1800
2021,Veneto,Fotovoltaico,2200
2021,Veneto,Idrico rinnovabile,4392.359093
2021,Veneto,Termoelettrico tradizionale,7800
2021,Veneto,Saldo import/export,16100
,,,
Applied filters: Year is 2021; Month is gen,,,
2020,Abruzzo,Saldo import/export,-181.279097
2020,Abruzzo,Geotermoelettrico,0
2020,Abruzzo,Idrico tradizionale,17.856611
2020,Abruzzo,Bioenergie,100
2020,Abruzzo,Eolico,408.8
2020,Abruzzo,Fotovoltaico,930.5
2020,Abruzzo,Idrico rinnovabile,1156.943389
2020,Abruzzo,Termoelettrico tradizionale,3774.2
2020,Basilicata,Saldo import/export,-970.113856
2020,Basilicata,Geotermoelettrico,0
2020,Basilicata,Idrico tradizionale,0.044097
2020,Basilicata,Idrico rinnovabile,187.755903
2020,Basilicata,Bioenergie,255.2
2020,Basilicata,Fotovoltaico,483.8
2020,Basilicata,Termoelettrico tradizionale,656.4
2020,Basilicata,Eolico,2405.1
2020,Calabria,Saldo import/export,-11763.586743
2020,Calabria,Geotermoelettrico,0
2020,Calabria,Idrico tradizionale,8.465292
2020,Calabria,Fotovoltaico,671.8
2020,Calabria,Idrico rinnovabile,869.734708
2020,Calabria,Bioenergie,1313.9
2020,Calabria,Eolico,2123.5
2020,Calabria,Termoelettrico tradizionale,12590.7
2020,Campania,Geotermoelettrico,0
2020,Campania,Idrico tradizionale,416.950031
2020,Campania,Idrico rinnovabile,417.249969
2020,Campania,Fotovoltaico,966.4
2020,Campania,Bioenergie,1128.7
2020,Campania,Eolico,3177.3
2020,Campania,Saldo import/export,4971.137677
2020,Campania,Termoelettrico tradizionale,6488.4
2020,Emilia-Romagna,Eolico,0
2020,Emilia-Romagna,Geotermoelettrico,0
2020,Emilia-Romagna,Idrico tradizionale,46.354132
2020,Emilia-Romagna,Idrico rinnovabile,920.145868
2020,Emilia-Romagna,Saldo import/export,1631.711025
2020,Emilia-Romagna,Fotovoltaico,2401.6
2020,Emilia-Romagna,Bioenergie,2958.3
2020,Emilia-Romagna,Termoelettrico tradizionale,20052
2020,Friuli-Venezia Giulia,Eolico,0
2020,Friuli-Venezia Giulia,Geotermoelettrico,0
2020,Friuli-Venezia Giulia,Idrico tradizionale,14.642207
2020,Friuli-Venezia Giulia,Fotovoltaico,600.1
2020,Friuli-Venezia Giulia,Bioenergie,873.4
2020,Friuli-Venezia Giulia,Saldo import/export,1160.96176
2020,Friuli-Venezia Giulia,Idrico rinnovabile,1845.657793
2020,Friuli-Venezia Giulia,Termoelettrico tradizionale,5354.3
2020,Lazio,Idrico tradizionale,-0.0055
2020,Lazio,Geotermoelettrico,0
2020,Lazio,Eolico,135.4
2020,Lazio,Bioenergie,666.6
2020,Lazio,Idrico rinnovabile,876.5055
2020,Lazio,Fotovoltaico,1743
2020,Lazio,Saldo import/export,9187.016934
2020,Lazio,Termoelettrico tradizionale,9240.8
2020,Liguria,Geotermoelettrico,0
2020,Liguria,Idrico tradizionale,0.047755
2020,Liguria,Bioenergie,45.6
2020,Liguria,Fotovoltaico,115.4
2020,Liguria,Eolico,130.5
2020,Liguria,Idrico rinnovabile,233.652245
2020,Liguria,Termoelettrico tradizionale,1912.6
2020,Liguria,Saldo import/export,3885.614082
2020,Lombardia,Eolico,0
2020,Lombardia,Geotermoelettrico,0
2020,Lombardia,Idrico tradizionale,509.266097
2020,Lombardia,Fotovoltaico,2413.4
2020,Lombardia,Bioenergie,3979
2020,Lombardia,Idrico rinnovabile,11011.333903
2020,Lombardia,Saldo import/export,14798.850428
2020,Lombardia,Termoelettrico tradizionale,30908.4
2020,Marche,Idrico tradizionale,-0.030585
2020,Marche,Eolico,0
2020,Marche,Geotermoelettrico,0
2020,Marche,Bioenergie,130.4
2020,Marche,Termoelettrico tradizionale,350.2
2020,Marche,Idrico rinnovabile,359.530585
2020,Marche,Fotovoltaico,1329.9
2020,Marche,Saldo import/export,4849.413881
2020,Molise,Saldo import/export,-1769.3
2020,Molise,Idrico tradizionale,-0.016709
2020,Molise,Geotermoelettrico,0
2020,Molise,Bioenergie,131.8
2020,Molise,Idrico rinnovabile,187.616709
2020,Molise,Fotovoltaico,227
2020,Molise,Eolico,657.4
2020,Molise,Termoelettrico tradizionale,1944.7
2020,Piemonte,Saldo import/export,-6702.802447
2020,Piemonte,Geotermoelettrico,0
2020,Piemonte,Eolico,25.7
2020,Piemonte,Idrico tradizionale,417.400149
2020,Piemonte,Bioenergie,1725.9
2020,Piemonte,Fotovoltaico,1799.2
2020,Piemonte,Idrico rinnovabile,7039.899851
2020,Piemonte,Termoelettrico tradizionale,19440.9
2020,Puglia,Saldo import/export,-12453.78939
2020,Puglia,Idrico tradizionale,-8.81141
2020,Puglia,Geotermoelettrico,0
2020,Puglia,Idrico rinnovabile,8.81141
2020,Puglia,Bioenergie,1364.4
2020,Puglia,Fotovoltaico,3762.5
2020,Puglia,Eolico,4755.1
2020,Puglia,Termoelettrico tradizionale,19781.6
2020,Sardegna,Saldo import/export,-3787.684232
2020,Sardegna,Geotermoelettrico,0
2020,Sardegna,Idrico tradizionale,144.571031
2020,Sardegna,Bioenergie,285
2020,Sardegna,Idrico rinnovabile,285.028969
2020,Sardegna,Fotovoltaico,1133.8
2020,Sardegna,Eolico,1665.9
2020,Sardegna,Termoelettrico tradizionale,9119.8
2020,Sicilia,Geotermoelettrico,0
2020,Sicilia,Bioenergie,106.3
2020,Sicilia,Idrico rinnovabile,106.31519
